"OldName","NewName"
"mTatumakiSpawnTimer","tatumakiSpawnTimer"
"mTimer","timer"
"mTitleFontHandle","titleFontHandle"
"mUfoAngle","ufoAngle"
"mUfoH","ufoH"
"mUfoVX","ufoVX"
"mUfoVY","ufoVY"
"mUfoW","ufoW"
"mUfoX","ufoX"
"mUfoY","ufoY"
"mVacuumGauge","vacuumGauge"
"mVacuumTimer","vacuumTimer"
"mVelocity","velocity"
"mVertex","vertex"
"mWarningTimer","warningTimer"
"SelectSkill","selectSkill"
"TrueFlag","trueFlag"
"TutrialVacumFlag","tutorialVacuumFlag"

"mfever","fever"

"Tag_fever","TagFever"

"Cow_gold::fever","Cow_gold::Fever"

"Nofever","NoFever"

"mFever","feverTag"
